"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"C1QA","OK","negbinomial.size",0,0,"C1QA",TRUE,-Inf,1
"C1QC","OK","negbinomial.size",0,0,"C1QC",TRUE,-Inf,1
"C1QB","OK","negbinomial.size",0,0,"C1QB",TRUE,-Inf,1
"VCAM1","OK","negbinomial.size",0,0,"VCAM1",TRUE,-Inf,1
"S100A10","OK","negbinomial.size",0,0,"S100A10",TRUE,Inf,-1
"S100A9","OK","negbinomial.size",0,0,"S100A9",TRUE,Inf,-1
"S100A12","OK","negbinomial.size",0,0,"S100A12",TRUE,Inf,-1
"S100A8","OK","negbinomial.size",0,0,"S100A8",TRUE,Inf,-1
"S100A6","OK","negbinomial.size",0,0,"S100A6",TRUE,Inf,-1
"S100A4","OK","negbinomial.size",0,0,"S100A4",TRUE,Inf,-1
"MNDA","OK","negbinomial.size",0,0,"MNDA",TRUE,Inf,-1
"FCGR3A","OK","negbinomial.size",0,0,"FCGR3A",TRUE,-Inf,1
"MARCO","OK","negbinomial.size",0,0,"MARCO",TRUE,-Inf,1
"SLC40A1","OK","negbinomial.size",0,0,"SLC40A1",TRUE,-Inf,1
"CSTA","OK","negbinomial.size",0,0,"CSTA",TRUE,Inf,-1
"SEPP1","OK","negbinomial.size",0,0,"SEPP1",TRUE,-Inf,1
"VCAN","OK","negbinomial.size",0,0,"VCAN",TRUE,Inf,-1
"PDK4","OK","negbinomial.size",0,0,"PDK4",TRUE,-Inf,1
"CTSB","OK","negbinomial.size",0,0,"CTSB",TRUE,-Inf,1
"FCN1","OK","negbinomial.size",0,0,"FCN1",TRUE,Inf,-1
"LYVE1","OK","negbinomial.size",0,0,"LYVE1",TRUE,-Inf,1
"MS4A6A","OK","negbinomial.size",0,0,"MS4A6A",TRUE,-Inf,1
"MS4A7","OK","negbinomial.size",0,0,"MS4A7",TRUE,-Inf,1
"FOLR2","OK","negbinomial.size",0,0,"FOLR2",TRUE,-Inf,1
"MRC1","OK","negbinomial.size",0,0,"MRC1",TRUE,-Inf,1
"LIPA","OK","negbinomial.size",0,0,"LIPA",TRUE,-Inf,1
"CD163","OK","negbinomial.size",0,0,"CD163",TRUE,-Inf,1
"LYZ","OK","negbinomial.size",0,0,"LYZ",TRUE,Inf,-1
"RP11-1143G9.4","OK","negbinomial.size",0,0,"RP11-1143G9.4",TRUE,Inf,-1
"LGMN","OK","negbinomial.size",0,0,"LGMN",TRUE,-Inf,1
"IFI27","OK","negbinomial.size",0,0,"IFI27",TRUE,-Inf,1
"PLTP","OK","negbinomial.size",0,0,"PLTP",TRUE,-Inf,1
"FTL","OK","negbinomial.size",0,0,"FTL",TRUE,-Inf,1
"HMOX1","OK","negbinomial.size",0,0,"HMOX1",TRUE,-Inf,1
"LGALS1","OK","negbinomial.size",0,0,"LGALS1",TRUE,Inf,-1
"TSPO","OK","negbinomial.size",0,0,"TSPO",TRUE,Inf,-1
"CD5L","OK","negbinomial.size",0,0,"CD5L",TRUE,-Inf,1
"GAPDH","OK","negbinomial.size",4.37110339802746e-314,9.19197032990641e-312,"GAPDH",TRUE,716.188218701418,-1
"IL1R2","OK","negbinomial.size",1.89144256412373e-313,3.87551731536216e-311,"IL1R2",TRUE,714.749284766515,-1
"MAF","OK","negbinomial.size",1.51512101525739e-307,3.02683300823045e-305,"MAF",TRUE,-701.180936502083,1
"HBB","OK","negbinomial.size",7.46913264675553e-305,1.45575217024935e-302,"HBB",TRUE,695.005175361656,-1
"CREG1","OK","negbinomial.size",9.11237925117833e-280,1.73373863324205e-277,"CREG1",TRUE,-637.265790622894,1
