"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"1",query_1,TRUE,5.66371414461908e-63,134,297,70,0.235690235690236,0.522388059701492,KEGG:03010,KEGG,Ribosome,7788,204,KEGG:00000
"2",query_1,TRUE,8.84958598099234e-94,94,342,75,0.219298245614035,0.797872340425532,REAC:R-HSA-156842,REAC,Eukaryotic Translation Elongation,10594,741,REAC:R-HSA-72766
"3",query_1,TRUE,2.90258011137801e-93,102,342,77,0.225146198830409,0.754901960784314,REAC:R-HSA-72689,REAC,Formation of a pool of free 40S subunits,10594,813,REAC:R-HSA-72737
"4",query_1,TRUE,1.23202422287671e-92,90,342,73,0.213450292397661,0.811111111111111,REAC:R-HSA-156902,REAC,Peptide chain elongation,10594,1480,REAC:R-HSA-156842
"5",query_1,TRUE,3.92741271795018e-90,112,277,74,0.267148014440433,0.660714285714286,REAC:R-HSA-156827,REAC,L13a-mediated translational silencing of Ceruloplasmin expression,10594,1118,REAC:R-HSA-72613
"6",query_1,TRUE,8.92961960329218e-90,113,277,74,0.267148014440433,0.654867256637168,REAC:R-HSA-72706,REAC,GTP hydrolysis and joining of the 60S ribosomal subunit,10594,875,REAC:R-HSA-72737
"7",query_1,TRUE,1.35654428463569e-88,90,342,71,0.207602339181287,0.788888888888889,REAC:R-HSA-192823,REAC,Viral mRNA Translation,10594,2244,REAC:R-HSA-168273
"8",query_1,TRUE,1.61601868581785e-88,120,342,79,0.230994152046784,0.658333333333333,REAC:R-HSA-72737,REAC,Cap-dependent Translation Initiation,10594,273,REAC:R-HSA-72613
"9",query_1,TRUE,1.61601868581785e-88,120,342,79,0.230994152046784,0.658333333333333,REAC:R-HSA-72613,REAC,Eukaryotic Translation Initiation,10594,742,REAC:R-HSA-72766
"10",query_1,TRUE,2.52846429182433e-86,94,342,71,0.207602339181287,0.75531914893617,REAC:R-HSA-72764,REAC,Eukaryotic Translation Termination,10594,743,REAC:R-HSA-72766
"11",query_1,TRUE,2.52846429182433e-86,94,342,71,0.207602339181287,0.75531914893617,REAC:R-HSA-2408557,REAC,Selenocysteine synthesis,10594,1852,REAC:R-HSA-2408522
"12",query_1,TRUE,3.31831325557219e-85,96,342,71,0.207602339181287,0.739583333333333,REAC:R-HSA-975956,REAC,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),10594,1377,REAC:R-HSA-927802
"13",query_1,TRUE,1.11883465660659e-80,113,342,73,0.213450292397661,0.646017699115044,REAC:R-HSA-1799339,REAC,SRP-dependent cotranslational protein targeting to membrane,10594,1825,REAC:R-HSA-72766
"14",query_1,TRUE,6.90427205551165e-76,116,342,71,0.207602339181287,0.612068965517241,REAC:R-HSA-975957,REAC,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),10594,1376,REAC:R-HSA-927802
"15",query_1,TRUE,6.90427205551165e-76,116,342,71,0.207602339181287,0.612068965517241,REAC:R-HSA-927802,REAC,Nonsense-Mediated Decay (NMD),10594,1378,REAC:R-HSA-8953854
"16",query_1,TRUE,1.59722412553944e-75,117,342,71,0.207602339181287,0.606837606837607,REAC:R-HSA-2408522,REAC,Selenoamino acid metabolism,10594,1851,REAC:R-HSA-71291
"17",query_1,TRUE,6.28187397207656e-72,133,277,68,0.245487364620939,0.511278195488722,REAC:R-HSA-168273,REAC,Influenza Viral RNA Transcription and Replication,10594,1018,REAC:R-HSA-168255
"18",query_1,TRUE,2.2337865813692e-69,142,277,68,0.245487364620939,0.47887323943662,REAC:R-HSA-168255,REAC,Influenza Life Cycle,10594,1017,REAC:R-HSA-168254
"19",query_1,TRUE,2.08562210845479e-68,152,277,69,0.249097472924188,0.453947368421053,REAC:R-HSA-168254,REAC,Influenza Infection,10594,1016,REAC:R-HSA-5663205
"20",query_1,TRUE,5.49110474748539e-61,171,277,67,0.24187725631769,0.391812865497076,REAC:R-HSA-9010553,REAC,Regulation of expression of SLITs and ROBOs,10594,1725,REAC:R-HSA-376176
"21",query_1,TRUE,1.43745140847463e-60,292,297,83,0.279461279461279,0.284246575342466,REAC:R-HSA-72766,REAC,Translation,10594,2169,REAC:R-HSA-392499
"22",query_1,TRUE,7.28568716491196e-59,183,342,72,0.210526315789474,0.39344262295082,REAC:R-HSA-6791226,REAC,Major pathway of rRNA processing in the nucleolus and cytosol,10594,1197,REAC:R-HSA-8868773
"23",query_1,TRUE,6.61365246714667e-57,193,342,72,0.210526315789474,0.373056994818653,REAC:R-HSA-8868773,REAC,rRNA processing in the nucleus and cytosol,10594,2313,REAC:R-HSA-72312
"24",query_1,TRUE,1.44982050837267e-56,203,277,68,0.245487364620939,0.334975369458128,REAC:R-HSA-72312,REAC,rRNA processing,10594,2311,REAC:R-HSA-8953854
"25",query_1,TRUE,3.2197765014892e-55,217,144,55,0.381944444444444,0.253456221198157,REAC:R-HSA-376176,REAC,Signaling by ROBO receptors,10594,1930,REAC:R-HSA-422475
"26",query_1,TRUE,5.83042427565988e-43,370,277,73,0.263537906137184,0.197297297297297,REAC:R-HSA-5663205,REAC,Infectious disease,10594,1014,REAC:R-HSA-1643685
"27",query_1,TRUE,1.73267484167169e-40,368,144,54,0.375,0.146739130434783,REAC:R-HSA-71291,REAC,Metabolism of amino acids and derivatives,10594,1210,REAC:R-HSA-1430728
"28",query_1,TRUE,2.85840547560341e-38,52,605,40,0.0661157024793388,0.769230769230769,REAC:R-HSA-72695,REAC,Formation of the ternary complex, and subsequently, the 43S complex,10594,824,REAC:R-HSA-72737
"29",query_1,TRUE,2.56676018598438e-37,60,605,42,0.0694214876033058,0.7,REAC:R-HSA-72662,REAC,Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S,10594,96,REAC:R-HSA-72737
"30",query_1,TRUE,3.24240387268224e-36,59,605,41,0.0677685950413223,0.694915254237288,REAC:R-HSA-72649,REAC,Translation initiation complex formation,10594,2170,REAC:R-HSA-72662
"31",query_1,TRUE,2.66130344125742e-35,549,278,78,0.280575539568345,0.14207650273224,REAC:R-HSA-422475,REAC,Axon guidance,10594,173,REAC:R-HSA-1266738
"32",query_1,TRUE,1.15749948996123e-34,59,605,40,0.0661157024793388,0.677966101694915,REAC:R-HSA-72702,REAC,Ribosomal scanning and start codon recognition,10594,1790,REAC:R-HSA-72737
"33",query_1,TRUE,4.09786304585797e-28,662,144,55,0.381944444444444,0.0830815709969789,REAC:R-HSA-8953854,REAC,Metabolism of RNA,10594,1208,REAC:0000000
"34",query_1,TRUE,3.439491981326e-25,1035,144,63,0.4375,0.0608695652173913,REAC:R-HSA-1643685,REAC,Disease,10594,648,REAC:0000000
"35",query_1,TRUE,4.82638416354614e-20,1083,148,59,0.398648648648649,0.0544783010156971,REAC:R-HSA-1266738,REAC,Developmental Biology,10594,641,REAC:0000000
"36",query_1,TRUE,1.337346724257e-13,476,890,93,0.104494382022472,0.195378151260504,REAC:R-HSA-6798695,REAC,Neutrophil degranulation,10594,1368,REAC:R-HSA-168249
"37",query_1,TRUE,3.75106081847972e-13,2015,144,68,0.472222222222222,0.0337468982630273,REAC:R-HSA-392499,REAC,Metabolism of proteins,10594,1224,REAC:0000000
"38",query_1,TRUE,1.52782063030534e-12,2072,144,68,0.472222222222222,0.0328185328185328,REAC:R-HSA-1430728,REAC,Metabolism,10594,1206,REAC:0000000
"39",query_1,TRUE,3.13515758881913e-09,1092,482,96,0.199170124481328,0.0879120879120879,REAC:R-HSA-168249,REAC,Innate Immune System,10594,1035,REAC:R-HSA-168256
"40",query_1,TRUE,1.02822401868971e-05,459,575,52,0.0904347826086957,0.113289760348584,REAC:R-HSA-449147,REAC,Signaling by Interleukins,10594,1904,REAC:R-HSA-1280215
"41",query_1,TRUE,1.26092084497806e-05,94,940,25,0.0265957446808511,0.265957446808511,REAC:R-HSA-168188,REAC,Toll Like Receptor TLR6:TLR2 Cascade,10594,2132,REAC:R-HSA-181438
"42",query_1,TRUE,1.26092084497806e-05,94,940,25,0.0265957446808511,0.265957446808511,REAC:R-HSA-166058,REAC,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,10594,1286,c("REAC:R-HSA-166016", "REAC:R-HSA-168179", "REAC:R-HSA-168188")
"43",query_1,TRUE,2.29362514467014e-05,97,940,25,0.0265957446808511,0.257731958762887,REAC:R-HSA-181438,REAC,Toll Like Receptor 2 (TLR2) Cascade,10594,2125,REAC:R-HSA-168898
"44",query_1,TRUE,2.29362514467014e-05,97,940,25,0.0265957446808511,0.257731958762887,REAC:R-HSA-168179,REAC,Toll Like Receptor TLR1:TLR2 Cascade,10594,2131,REAC:R-HSA-181438
"45",query_1,TRUE,2.37166082854259e-05,126,813,27,0.033210332103321,0.214285714285714,REAC:R-HSA-166016,REAC,Toll Like Receptor 4 (TLR4) Cascade,10594,2127,REAC:R-HSA-168898
"46",query_1,TRUE,3.65998814660502e-05,152,813,30,0.03690036900369,0.197368421052632,REAC:R-HSA-168898,REAC,Toll-like Receptor Cascades,10594,2133,REAC:R-HSA-168249
"47",query_1,TRUE,4.67242756807634e-05,2147,312,98,0.314102564102564,0.0456450861667443,REAC:R-HSA-168256,REAC,Immune System,10594,1007,REAC:0000000
"48",query_1,TRUE,0.00024472117006978,90,940,22,0.0234042553191489,0.244444444444444,REAC:R-HSA-975138,REAC,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,10594,2077,REAC:R-HSA-975155
"49",query_1,TRUE,0.000252098939282392,84,940,21,0.0223404255319149,0.25,REAC:R-HSA-168142,REAC,Toll Like Receptor 10 (TLR10) Cascade,10594,2124,REAC:R-HSA-168898
"50",query_1,TRUE,0.000252098939282392,84,940,21,0.0223404255319149,0.25,REAC:R-HSA-975871,REAC,MyD88 cascade initiated on plasma membrane,10594,1281,c("REAC:R-HSA-168142", "REAC:R-HSA-168176")
"51",query_1,TRUE,0.000252098939282392,84,940,21,0.0223404255319149,0.25,REAC:R-HSA-168176,REAC,Toll Like Receptor 5 (TLR5) Cascade,10594,2128,REAC:R-HSA-168898
"52",query_1,TRUE,0.000267707336019969,91,940,22,0.0234042553191489,0.241758241758242,REAC:R-HSA-168181,REAC,Toll Like Receptor 7/8 (TLR7/8) Cascade,10594,2129,REAC:R-HSA-168898
"53",query_1,TRUE,0.000267707336019969,91,940,22,0.0234042553191489,0.241758241758242,REAC:R-HSA-975155,REAC,MyD88 dependent cascade initiated on endosome,10594,1284,c("REAC:R-HSA-168138", "REAC:R-HSA-168181")
"54",query_1,TRUE,0.000442968136985419,6,12,2,0.166666666666667,0.333333333333333,REAC:R-HSA-6799990,REAC,Metal sequestration by antimicrobial proteins,10594,1232,REAC:R-HSA-6803157
"55",query_1,TRUE,0.000534895794611432,95,940,22,0.0234042553191489,0.231578947368421,REAC:R-HSA-168138,REAC,Toll Like Receptor 9 (TLR9) Cascade,10594,2130,REAC:R-HSA-168898
"56",query_1,TRUE,0.000614125934324552,96,940,22,0.0234042553191489,0.229166666666667,REAC:R-HSA-937061,REAC,TRIF(TICAM1)-mediated TLR4 signaling ,10594,2080,REAC:R-HSA-166166
"57",query_1,TRUE,0.000614125934324552,96,940,22,0.0234042553191489,0.229166666666667,REAC:R-HSA-166166,REAC,MyD88-independent TLR4 cascade ,10594,1285,REAC:R-HSA-166016
"58",query_1,TRUE,0.000654846114531605,22,861,9,0.0104529616724739,0.409090909090909,REAC:R-HSA-9613829,REAC,Chaperone Mediated Autophagy,10594,307,REAC:R-HSA-9612973
